effect_id,target_type,counter_min,counter_max,text,comment
8,0,-1,-1,,User [faint]{mechanic:faint}s$ even if the attack [fail]{mechanic:fail}s or [miss]{mechanic:miss}es.  Inflicts [regular damage]{mechanic:regular-damage}.
9,1,-1,-1,,[Fails]{mechanic:fail} if not used on a [sleep]{mechanic:sleep}ing Pokémon.  Inflicts [regular damage]{mechanic:regular-damage}.  [Drains]{mechanic:drain} half the damage inflicted to heal the user.
10,1,-1,-1,,Uses the last move targeted at the user by a Pokémon still on the [field]{mechanic:field}.  A move counts as targeting the user even if it hit multiple Pokémon$ as long as the user was one of them; however$ moves targeting the [field]{mechanic:field} itself do not count.  If the user has not been targeted by an appropriate move since entering the [field]{mechanic:field}$ or if no Pokémon that targeted the user remains on the [field]{mechanic:field}$ this move will [fail]{mechanic:fail}.Moves that [fail]{mechanic:fail}ed$ [miss]{mechanic:miss}ed$ had [no effect]{mechanic:no-effect}$ or were [block]{mechanic:block}ed are still copied.Assist moves$ time-delayed moves$ “meta” moves that operate on other moves/Pokémon/abilities$ and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move$ the previous move will be used instead.  The full list of ignored moves is: []{move:acid-armor}$ []{move:acupressure}$ []{move:after-you}$ []{move:agility}$ []{move:ally-switch}$ []{move:amnesia}$ []{move:aqua-ring}$ []{move:aromatherapy}$ []{move:aromatic-mist}$ []{move:assist}$ []{move:autotomize}$ []{move:barrier}$ []{move:baton-pass}$ []{move:belch}$ []{move:belly-drum}$ []{move:bide}$ []{move:bulk-up}$ []{move:calm-mind}$ []{move:camouflage}$ []{move:celebrate}$ []{move:charge}$ []{move:coil}$ []{move:conversion}$ []{move:conversion-2}$ []{move:copycat}$ []{move:cosmic-power}$ []{move:cotton-guard}$ []{move:counter}$ []{move:crafty-shield}$ []{move:curse}$ []{move:defend-order}$ []{move:defense-curl}$ []{move:destiny-bond}$ []{move:detect}$ []{move:doom-desire}$ []{move:double-team}$ []{move:dragon-dance}$ []{move:electric-terrain}$ []{move:endure}$ []{move:final-gambit}$ []{move:flower-shield}$ []{move:focus-energy}$ []{move:focus-punch}$ []{move:follow-me}$ []{move:future-sight}$ []{move:geomancy}$ []{move:grassy-terrain}$ []{move:gravity}$ []{move:growth}$ []{move:grudge}$ []{move:guard-split}$ []{move:hail}$ []{move:happy-hour}$ []{move:harden}$ []{move:haze}$ []{move:heal-bell}$ []{move:heal-order}$ []{move:heal-pulse}$ []{move:healing-wish}$ []{move:helping-hand}$ []{move:hold-hands}$ []{move:hone-claws}$ []{move:howl}$ []{move:imprison}$ []{move:ingrain}$ []{move:ion-deluge}$ []{move:iron-defense}$ []{move:kings-shield}$ []{move:light-screen}$ []{move:lucky-chant}$ []{move:lunar-dance}$ []{move:magic-coat}$ []{move:magnet-rise}$ []{move:magnetic-flux}$ []{move:mat-block}$ []{move:me-first}$ []{move:meditate}$ []{move:metronome}$ []{move:milk-drink}$ []{move:mimic}$ []{move:minimize}$ []{move:mirror-coat}$ []{move:mirror-move}$ []{move:mist}$ []{move:misty-terrain}$ []{move:moonlight}$ []{move:morning-sun}$ []{move:mud-sport}$ []{move:nasty-plot}$ []{move:nature-power}$ []{move:perish-song}$ []{move:power-split}$ []{move:power-trick}$ []{move:protect}$ []{move:psych-up}$ []{move:quick-guard}$ []{move:quiver-dance}$ []{move:rage-powder}$ []{move:rain-dance}$ []{move:recover}$ []{move:recycle}$ []{move:reflect}$ []{move:reflect-type}$ []{move:refresh}$ []{move:rest}$ []{move:rock-polish}$ []{move:role-play}$ []{move:roost}$ []{move:rototiller}$ []{move:safeguard}$ []{move:sandstorm}$ []{move:shadow-blast}$ []{move:shadow-bolt}$ []{move:shadow-half}$ []{move:shadow-rush}$ []{move:shadow-shed}$ []{move:shadow-sky}$ []{move:shadow-storm}$ []{move:shadow-wave}$ []{move:sharpen}$ []{move:shell-smash}$ []{move:shift-gear}$ []{move:sketch}$ []{move:slack-off}$ []{move:sleep-talk}$ []{move:snatch}$ []{move:soft-boiled}$ []{move:spikes}$ []{move:spiky-shield}$ []{move:spit-up}$ []{move:splash}$ []{move:stealth-rock}$ []{move:sticky-web}$ []{move:stockpile}$ []{move:struggle}$ []{move:substitute}$ []{move:sunny-day}$ []{move:swallow}$ []{move:swords-dance}$ []{move:synthesis}$ []{move:tail-glow}$ []{move:tailwind}$ []{move:teleport}$ []{move:toxic-spikes}$ []{move:transform}$ []{move:water-sport}$ []{move:wide-guard}$ []{move:wish}$ []{move:withdraw} and []{move:work-up}.This move cannot be selected by []{move:assist}$ []{move:metronome}$ or []{move:sleep-talk}$ nor forced by []{move:encore}.
26,0,-1,-1,All Pokemon's stat changes were erased.,Removes [stat]{mechanic:stat}$ [accuracy]{mechanic:accuracy}$ and [evasion]{mechanic:evasion} modifiers from every Pokémon on the [field]{mechanic:field}.This does not count as a stat reduction for the purposes of []{ability:clear-body} or []{ability:white-smoke}.
27,1,2,2,,User waits for two turns.  On the second turn$ the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is [typeless]{mechanic:typeless}.This move cannot be selected by []{move:sleep-talk}.
28,0,2,3,It hit {counter} times.,uses the same attack for 2-3 turns
30,1,2,5,It hit {counter} times.,hits 2-5 times
31,0,-1,-1,conversion,User's [type]{mechanic:type} changes to the [type]{mechanic:type} of one of its moves$ selected at random.  []{move:hidden-power} and []{move:weather-ball} are treated as []{type:normal}.  Only moves with a different [type]{mechanic:type} are eligible$ and []{move:curse} is never eligible.  If the user has no suitable moves$ this move will [fail]{mechanic:fail}.
33,0,0,0,{attacker} recovered health!,restore 50% of max hp
34,1,0,0,toxic,[Badly poisons]{mechanic:badly-poisons} the target.  Never misses when used by a []{type:poison}-type Pokémon.
